Implied_Volatility,Strike_Price,Current_Nifty_Price,Risk_Free_Rate,Last_Traded_Price,Time_to_Expiry,Theoretical_Price,Price_Difference,Option_Type_Binary
0.1145,19550,19751.05,0.1,34.1,0.01369863,28.13252591,5.967474087,0
0.1137,19600,19751.05,0.1,44.95,0.01369863,38.67762377,6.27237623,0
0.1137,19650,19751.05,0.1,59.5,0.01369863,52.76468485,6.735315146,0
0.1135,19700,19751.05,0.1,76,0.01369863,70.05911839,5.940881606,0
0.1139,19750,19751.05,0.1,97.65,0.01369863,91.52074768,6.12925232,0
0.1171,19800,19751.05,0.1,125,0.01369863,119.3258009,5.674199051,0
0.1221,19850,19751.05,0.1,155.9,0.01369863,152.3110179,3.588982067,0
0.129,19900,19751.05,0.1,194.4,0.01369863,189.9307987,4.469201302,0
0.1356,19950,19751.05,0.1,236.35,0.01369863,229.6325942,6.717405826,0
0.1416,20000,19751.05,0.1,277,0.01369863,270.7791822,6.220817781,0
0.1512,20050,19751.05,0.1,322,0.01369863,315.9734038,6.026596235,0
0.166,20100,19751.05,0.1,371.9,0.01369863,365.4565889,6.443411146,0
0.1801,20150,19751.05,0.1,421.7,0.01369863,414.8439893,6.856010659,0
0.1847,20200,19751.05,0.1,465,0.01369863,458.8958036,6.104196356,0
0.2052,20250,19751.05,0.1,519.9,0.01369863,512.6274888,7.272511182,0
0.2128,20300,19751.05,0.1,566.1,0.01369863,559.1923661,6.907633862,0
0.2037,20350,19751.05,0.1,602.8,0.01369863,598.1316925,4.668307548,0
0.2365,20400,19751.05,0.1,664.95,0.01369863,657.7542192,7.19578081,0
0.1837,20450,19751.05,0.1,682.45,0.01369863,682.1379847,0.312015337,0
0.261,20500,19751.05,0.1,764.9,0.01369863,757.2597806,7.640219409,0
0.3445,20550,19751.05,0.1,861.15,0.01369863,845.2007237,15.94927629,0
0.285,20600,19751.05,0.1,865,0.01369863,856.9040172,8.095982775,0
0.2773,20650,19751.05,0.1,904.8,0.01369863,898.6980646,6.101935421,0
0.2972,20800,19751.05,0.1,1048.8,0.01369863,1043.683964,5.116035817,0
0.3793,20900,19751.05,0.1,1178.55,0.01369863,1166.61764,11.93235978,0
0.3707,21000,19751.05,0.1,1262.8,0.01369863,1253.906403,8.893596859,0
0.4561,21500,19751.05,0.1,1755.6,0.01369863,1747.326615,8.273385006,0
0.4989,21700,19751.05,0.1,1957.15,0.01369863,1948.105433,9.044566993,0
